X,Y
184,453
185,448
185,449
185,453
185,454
186,449
186,450
186,454
187,450
187,451
187,454
187,455
188,451
188,452
188,455
188,456
189,452
189,453
189,456
189,457
190,453
190,454
190,457
190,458
191,454
191,455
191,458
191,459
192,455
192,459
192,460
193,452
193,455
193,456
193,460
194,456
194,457
194,460
194,461
195,457
195,458
195,461
195,462
196,458
196,459
196,462
196,463
197,459
197,460
197,463
197,464
198,460
198,464
199,460
199,461
199,464
199,465
200,461
200,462
200,465
200,466
201,462
201,463
201,466
201,467
202,463
202,464
202,467
202,468
203,464
203,468
203,469
204,464
204,465
204,469
205,465
205,466
205,469
205,470
206,466
206,467
206,470
206,471
207,467
207,468
207,471
207,472
208,468
208,469
208,472
208,473
209,469
209,470
209,473
209,474
210,470
210,471
210,474
210,475
211,471
211,472
211,475
211,476
212,472
212,476
213,472
213,473
213,476
213,477
214,473
214,474
214,477
214,478
215,474
215,475
215,478
215,479
216,475
216,476
216,479
216,480
217,476
217,477
217,480
217,481
218,477
218,478
218,481
219,478
219,481
219,482
220,478
220,479
220,482
220,483
221,479
221,480
221,483
221,484
222,480
222,481
222,484
223,481
223,482
223,484
223,485
224,482
224,485
224,486
225,482
225,483
225,486
225,487
226,483
226,484
226,487
226,488
227,484
227,485
227,488
227,489
228,485
228,486
228,489
228,490
229,486
229,487
229,490
229,491
230,487
230,491
230,492
231,487
231,488
231,492
232,488
232,489
232,492
232,493
233,489
233,490
233,493
233,494
234,490
234,491
234,494
234,495
235,491
235,492
235,495
235,496
236,492
236,493
236,496
237,493
237,496
237,497
238,494
238,497
238,498
239,495
239,498
239,499
240,495
240,496
240,499
240,500
241,496
241,497
241,500
241,501
242,497
242,498
242,501
243,498
243,501
243,502
244,499
244,502
244,503
245,499
245,500
245,503
245,504
246,500
246,501
246,504
246,505
247,501
247,502
247,505
247,506
248,502
248,503
248,506
248,507
249,503
249,504
249,507
250,500
250,504
250,505
250,508
251,501
251,505
251,508
251,509
252,502
252,506
252,509
252,510
253,503
253,507
253,510
253,511
254,504
254,507
254,508
254,511
254,512
255,508
255,509
255,512
255,513
256,509
256,510
256,513
256,514
257,510
257,511
257,514
258,511
258,512
258,514
258,515
259,512
259,515
259,516
260,512
260,513
260,516
260,517
261,513
261,514
261,517
261,518
262,514
262,518
263,511
263,515
263,518
263,519
264,512
264,516
264,519
264,520
265,513
265,516
265,517
265,520
265,521
266,514
266,517
266,518
266,521
266,522
267,515
267,518
267,519
267,522
267,523
268,519
268,520
268,523
268,524
269,516
269,520
269,521
269,524
270,517
270,521
270,524
270,525
271,518
271,522
271,525
271,526
272,519
272,523
272,526
272,527
273,520
273,523
273,524
273,527
273,528
274,521
274,524
274,525
274,528
274,529
275,522
275,525
275,526
275,529
275,530
276,526
276,527
276,530
276,531
277,527
277,531
278,528
278,531
278,532
